"Année",1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Tunis",876.8,890.1,901.5,909.6,917.6,924.8,937.8,951.1,964.9,978.1,983.2,985.3,986.7,989,991.3,993.9,996.4,1000.3,1002.9
"Ariana",545,568.8,587.6,604.2,620.9,637.3,665,364,373.4,382.7,412.2,422.5,435.9,447.3,460.3,473.2,483.5,498,510.5
"Ben Arous",356.4,371.7,386.4,399.6,412.9,426,435.9,446,456.6,467.3,495.6,506.4,520.2,531.1,543.6,555.4,565.5,577.5,588.7
"Manouba","- ","- ","- ","- ","- ","- ","- ",314.9,321,326.8,331.9,336.6,341.8,347.1,352.9,358,363,368.7,375.3
"Nabeul",566.2,579.9,591.4,600.2,608.4,616.2,624.6,632.7,641.5,650.4,687.1,695.6,705,714.5,723.7,733.6,744.2,752.8,762.6
"Zaghouan",140.2,142.9,145.3,146.9,148.1,149.4,152.4,154.1,155.7,157.4,159.9,161.6,163.3,165.7,165.5,167,169.4,170.5,172.3
"Bizerte",473.9,484.2,492.4,498.4,504,509.3,513.9,518.5,521.2,523.8,520.8,525.2,529.3,532.8,536,539,543.2,546.6,551.5
"Béja",301.9,305.4,308.5,310.1,311.6,312.7,315.7,312.3,308.8,306.3,305.6,305,304,303.8,303.7,304.4,304.7,306.2,307.3
"Jendouba",398.6,403.8,409.3,413,416.3,419.1,421.7,418.9,416.6,416.1,416,417.7,418.1,419.1,419.8,420.7,422.3,423.2,426
"Le Kef",269.4,272.3,274.8,275.9,276.8,277.5,274.5,271.5,267.5,263.5,259.2,259.5,258.5,258,257.3,256.8,257,256.6,258.1
"Siliana",243,245.7,248.1,249.2,250.2,251,248.3,245.6,241.9,238.2,234.4,234.7,233.9,233.7,233.3,233.3,234.1,234,235.3
"Kairouan",518.1,530.7,539.7,545.9,551.8,557.6,558.7,563.2,567.4,571.1,546.1,547.4,548.2,550.3,551.9,554.3,558.2,559.7,564.9
"Kasserine",376.8,387.2,395.4,401.3,406.8,411.8,411.8,416.3,420.7,424.8,410.5,413.6,415.7,419.2,422.1,424.9,427.7,432.3,437.2
"Sidi Bouzid",367.6,378,385.2,390.2,394.7,398.6,395.7,398.6,401.5,404.3,394.4,396.6,398.4,401.1,403.4,406.2,408.8,412.5,415.9
"Sousse",421.8,435.1,445.9,454.7,463.6,472.3,484.4,492.5,501.2,510.1,536.3,545.8,557.1,568.2,579,590.1,600.4,611.8,622.1
"Monastir",353.5,363.4,372.3,380,387.6,394.9,405.9,413.4,421.2,429.2,448.4,456.7,466.3,475.3,485,494.9,505.2,515.3,525.5
"Mahdia",326.7,334.1,340.1,344.6,349,353.4,361.4,366.4,371.5,376.5,375.2,378.8,381.9,384.5,386.9,389.8,394.1,396.3,400.4
"Sfax",714.9,732.9,748,759.9,771,781.8,797.9,808.7,820.6,832.6,846.5,857.1,869.4,881,893,905,918.5,931,944.5
"Gafsa",299.3,307.7,313,316.8,320.2,323.2,324.8,327.6,330.7,333.4,322.7,324.5,326,328.2,330,332.4,335.1,338.1,341.6
"Tozeur",86.6,89.1,90.9,92.4,93.6,94.9,95.2,96.3,97.4,98.5,97,97.7,98.5,99.4,100.3,101.3,102.3,103.5,104.8
"Kébili",127.3,131.6,134.4,136.6,138.6,140.4,140.2,141.4,142.8,144.2,142.6,143.5,144.4,145.5,146.6,147.8,148.6,150.7,152.2
"Gabés",302.1,310.3,315.9,320,323.7,327,329.5,332.3,335,337.7,340.8,343.4,345.9,348.7,351.6,354.6,358.3,361.5,366.1
"Médenine",375.1,385.6,393.4,399.5,405.3,410.4,416.7,421.8,427,431.9,430.1,433.4,436.7,440.2,443.7,447.5,453.3,455.9,460
"Tataouine",131.1,135.2,138,140.2,142.1,143.7,144,144.3,144.5,144,143.4,143.8,143.9,144.2,144.3,144.6,145.8,146.2,148
"Ensemble",8572.2,8785.7,8957.5,9089.3,9214.9,9333.3,9455.9,9552.5,9650.6,9748.9,9839.8,9932.4,10029,10127.9,10225.1,10328.9,10439.6,10549.1,10673.8
